Country,Region,value,variable,year
Russia,Central and Eastern Europe,64,Happiness Rank,2015
Jamaica,Latin America and Caribbean,65,Happiness Rank,2015
North Cyprus,Western Europe,66,Happiness Rank,2015
Cyprus,Western Europe,67,Happiness Rank,2015
Algeria,Middle East and Northern Africa,68,Happiness Rank,2015
Kosovo,Central and Eastern Europe,69,Happiness Rank,2015
Turkmenistan,Central and Eastern Europe,70,Happiness Rank,2015
Mauritius,Sub-Saharan Africa,71,Happiness Rank,2015
Hong Kong,Eastern Asia,72,Happiness Rank,2015
Estonia,Central and Eastern Europe,73,Happiness Rank,2015
Indonesia,Southeastern Asia,74,Happiness Rank,2015
Vietnam,Southeastern Asia,75,Happiness Rank,2015
Turkey,Middle East and Northern Africa,76,Happiness Rank,2015
Kyrgyzstan,Central and Eastern Europe,77,Happiness Rank,2015
Nigeria,Sub-Saharan Africa,78,Happiness Rank,2015
Bhutan,Southern Asia,79,Happiness Rank,2015
Azerbaijan,Central and Eastern Europe,80,Happiness Rank,2015
Pakistan,Southern Asia,81,Happiness Rank,2015
Jordan,Middle East and Northern Africa,82,Happiness Rank,2015
Montenegro,Central and Eastern Europe,82,Happiness Rank,2015
China,Eastern Asia,84,Happiness Rank,2015
Zambia,Sub-Saharan Africa,85,Happiness Rank,2015
Romania,Central and Eastern Europe,86,Happiness Rank,2015
Serbia,Central and Eastern Europe,87,Happiness Rank,2015
Portugal,Western Europe,88,Happiness Rank,2015
Latvia,Central and Eastern Europe,89,Happiness Rank,2015
Philippines,Southeastern Asia,90,Happiness Rank,2015
Somaliland region,Sub-Saharan Africa,91,Happiness Rank,2015
Morocco,Middle East and Northern Africa,92,Happiness Rank,2015
Macedonia,Central and Eastern Europe,93,Happiness Rank,2015
Mozambique,Sub-Saharan Africa,94,Happiness Rank,2015
Albania,Central and Eastern Europe,95,Happiness Rank,2015
Bosnia and Herzegovina,Central and Eastern Europe,96,Happiness Rank,2015
Lesotho,Sub-Saharan Africa,97,Happiness Rank,2015
Dominican Republic,Latin America and Caribbean,98,Happiness Rank,2015
Laos,Southeastern Asia,99,Happiness Rank,2015
Mongolia,Eastern Asia,100,Happiness Rank,2015
Swaziland,Sub-Saharan Africa,101,Happiness Rank,2015
Greece,Western Europe,102,Happiness Rank,2015
Lebanon,Middle East and Northern Africa,103,Happiness Rank,2015
Hungary,Central and Eastern Europe,104,Happiness Rank,2015
Honduras,Latin America and Caribbean,105,Happiness Rank,2015
Tajikistan,Central and Eastern Europe,106,Happiness Rank,2015
Tunisia,Middle East and Northern Africa,107,Happiness Rank,2015
Palestinian Territories,Middle East and Northern Africa,108,Happiness Rank,2015
Bangladesh,Southern Asia,109,Happiness Rank,2015
Iran,Middle East and Northern Africa,110,Happiness Rank,2015
Ukraine,Central and Eastern Europe,111,Happiness Rank,2015
Iraq,Middle East and Northern Africa,112,Happiness Rank,2015
South Africa,Sub-Saharan Africa,113,Happiness Rank,2015
Ghana,Sub-Saharan Africa,114,Happiness Rank,2015
Zimbabwe,Sub-Saharan Africa,115,Happiness Rank,2015
Liberia,Sub-Saharan Africa,116,Happiness Rank,2015
India,Southern Asia,117,Happiness Rank,2015
Sudan,Sub-Saharan Africa,118,Happiness Rank,2015
Haiti,Latin America and Caribbean,119,Happiness Rank,2015
Congo (Kinshasa),Sub-Saharan Africa,120,Happiness Rank,2015
Nepal,Southern Asia,121,Happiness Rank,2015
Ethiopia,Sub-Saharan Africa,122,Happiness Rank,2015
Sierra Leone,Sub-Saharan Africa,123,Happiness Rank,2015
Mauritania,Sub-Saharan Africa,124,Happiness Rank,2015
Kenya,Sub-Saharan Africa,125,Happiness Rank,2015
Djibouti,Sub-Saharan Africa,126,Happiness Rank,2015
Armenia,Central and Eastern Europe,127,Happiness Rank,2015
Botswana,Sub-Saharan Africa,128,Happiness Rank,2015
Myanmar,Southeastern Asia,129,Happiness Rank,2015
Georgia,Central and Eastern Europe,130,Happiness Rank,2015
Malawi,Sub-Saharan Africa,131,Happiness Rank,2015
Sri Lanka,Southern Asia,132,Happiness Rank,2015
Cameroon,Sub-Saharan Africa,133,Happiness Rank,2015
Bulgaria,Central and Eastern Europe,134,Happiness Rank,2015
Egypt,Middle East and Northern Africa,135,Happiness Rank,2015
Yemen,Middle East and Northern Africa,136,Happiness Rank,2015
Angola,Sub-Saharan Africa,137,Happiness Rank,2015
Mali,Sub-Saharan Africa,138,Happiness Rank,2015
Congo (Brazzaville),Sub-Saharan Africa,139,Happiness Rank,2015
Comoros,Sub-Saharan Africa,140,Happiness Rank,2015
Uganda,Sub-Saharan Africa,141,Happiness Rank,2015
Senegal,Sub-Saharan Africa,142,Happiness Rank,2015
Gabon,Sub-Saharan Africa,143,Happiness Rank,2015
Niger,Sub-Saharan Africa,144,Happiness Rank,2015
Cambodia,Southeastern Asia,145,Happiness Rank,2015
Tanzania,Sub-Saharan Africa,146,Happiness Rank,2015
Madagascar,Sub-Saharan Africa,147,Happiness Rank,2015
Chad,Sub-Saharan Africa,149,Happiness Rank,2015
Guinea,Sub-Saharan Africa,150,Happiness Rank,2015
Ivory Coast,Sub-Saharan Africa,151,Happiness Rank,2015
Burkina Faso,Sub-Saharan Africa,152,Happiness Rank,2015
Afghanistan,Southern Asia,153,Happiness Rank,2015
Rwanda,Sub-Saharan Africa,154,Happiness Rank,2015
Benin,Sub-Saharan Africa,155,Happiness Rank,2015
Syria,Middle East and Northern Africa,156,Happiness Rank,2015
Burundi,Sub-Saharan Africa,157,Happiness Rank,2015
Togo,Sub-Saharan Africa,158,Happiness Rank,2015
Denmark,Western Europe,1,Happiness Rank,2016
Switzerland,Western Europe,2,Happiness Rank,2016
Iceland,Western Europe,3,Happiness Rank,2016
Norway,Western Europe,4,Happiness Rank,2016
Finland,Western Europe,5,Happiness Rank,2016
Canada,North America,6,Happiness Rank,2016
Netherlands,Western Europe,7,Happiness Rank,2016
New Zealand,Australia and New Zealand,8,Happiness Rank,2016
Australia,Australia and New Zealand,9,Happiness Rank,2016
Sweden,Western Europe,10,Happiness Rank,2016
Israel,Middle East and Northern Africa,11,Happiness Rank,2016
Austria,Western Europe,12,Happiness Rank,2016
United States,North America,13,Happiness Rank,2016
Costa Rica,Latin America and Caribbean,14,Happiness Rank,2016
Puerto Rico,Latin America and Caribbean,15,Happiness Rank,2016
Germany,Western Europe,16,Happiness Rank,2016
Brazil,Latin America and Caribbean,17,Happiness Rank,2016
Belgium,Western Europe,18,Happiness Rank,2016
Ireland,Western Europe,19,Happiness Rank,2016
Luxembourg,Western Europe,20,Happiness Rank,2016
Mexico,Latin America and Caribbean,21,Happiness Rank,2016
Singapore,Southeastern Asia,22,Happiness Rank,2016
United Kingdom,Western Europe,23,Happiness Rank,2016
Chile,Latin America and Caribbean,24,Happiness Rank,2016
Panama,Latin America and Caribbean,25,Happiness Rank,2016
Argentina,Latin America and Caribbean,26,Happiness Rank,2016
Czech Republic,Central and Eastern Europe,27,Happiness Rank,2016
United Arab Emirates,Middle East and Northern Africa,28,Happiness Rank,2016
Uruguay,Latin America and Caribbean,29,Happiness Rank,2016
Malta,Western Europe,30,Happiness Rank,2016
Colombia,Latin America and Caribbean,31,Happiness Rank,2016
France,Western Europe,32,Happiness Rank,2016
Thailand,Southeastern Asia,33,Happiness Rank,2016
Saudi Arabia,Middle East and Northern Africa,34,Happiness Rank,2016
Taiwan,Eastern Asia,34,Happiness Rank,2016
Qatar,Middle East and Northern Africa,36,Happiness Rank,2016
Spain,Western Europe,37,Happiness Rank,2016
Algeria,Middle East and Northern Africa,38,Happiness Rank,2016
Guatemala,Latin America and Caribbean,39,Happiness Rank,2016
Suriname,Latin America and Caribbean,40,Happiness Rank,2016
Kuwait,Middle East and Northern Africa,41,Happiness Rank,2016
Bahrain,Middle East and Northern Africa,42,Happiness Rank,2016
Trinidad and Tobago,Latin America and Caribbean,43,Happiness Rank,2016
Venezuela,Latin America and Caribbean,44,Happiness Rank,2016
Slovakia,Central and Eastern Europe,45,Happiness Rank,2016
El Salvador,Latin America and Caribbean,46,Happiness Rank,2016
Malaysia,Southeastern Asia,47,Happiness Rank,2016
Nicaragua,Latin America and Caribbean,48,Happiness Rank,2016
Uzbekistan,Central and Eastern Europe,49,Happiness Rank,2016
Italy,Western Europe,50,Happiness Rank,2016
Ecuador,Latin America and Caribbean,51,Happiness Rank,2016
Belize,Latin America and Caribbean,52,Happiness Rank,2016
Japan,Eastern Asia,53,Happiness Rank,2016
Kazakhstan,Central and Eastern Europe,54,Happiness Rank,2016
Moldova,Central and Eastern Europe,55,Happiness Rank,2016
Russia,Central and Eastern Europe,56,Happiness Rank,2016
Poland,Central and Eastern Europe,57,Happiness Rank,2016
South Korea,Eastern Asia,57,Happiness Rank,2016
Bolivia,Latin America and Caribbean,59,Happiness Rank,2016
Lithuania,Central and Eastern Europe,60,Happiness Rank,2016
Belarus,Central and Eastern Europe,61,Happiness Rank,2016
North Cyprus,Western Europe,62,Happiness Rank,2016
Slovenia,Central and Eastern Europe,63,Happiness Rank,2016
Peru,Latin America and Caribbean,64,Happiness Rank,2016
Turkmenistan,Central and Eastern Europe,65,Happiness Rank,2016
Mauritius,Sub-Saharan Africa,66,Happiness Rank,2016
Libya,Middle East and Northern Africa,67,Happiness Rank,2016
Latvia,Central and Eastern Europe,68,Happiness Rank,2016
Cyprus,Western Europe,69,Happiness Rank,2016
Paraguay,Latin America and Caribbean,70,Happiness Rank,2016
Romania,Central and Eastern Europe,71,Happiness Rank,2016
Estonia,Central and Eastern Europe,72,Happiness Rank,2016
Jamaica,Latin America and Caribbean,73,Happiness Rank,2016
Croatia,Central and Eastern Europe,74,Happiness Rank,2016
Hong Kong,Eastern Asia,75,Happiness Rank,2016
Somalia,Sub-Saharan Africa,76,Happiness Rank,2016
Kosovo,Central and Eastern Europe,77,Happiness Rank,2016
Turkey,Middle East and Northern Africa,78,Happiness Rank,2016
Indonesia,Southeastern Asia,79,Happiness Rank,2016
Jordan,Middle East and Northern Africa,80,Happiness Rank,2016
Azerbaijan,Central and Eastern Europe,81,Happiness Rank,2016
Philippines,Southeastern Asia,82,Happiness Rank,2016
China,Eastern Asia,83,Happiness Rank,2016
Bhutan,Southern Asia,84,Happiness Rank,2016
Kyrgyzstan,Central and Eastern Europe,85,Happiness Rank,2016
Serbia,Central and Eastern Europe,86,Happiness Rank,2016
Bosnia and Herzegovina,Central and Eastern Europe,87,Happiness Rank,2016
Montenegro,Central and Eastern Europe,88,Happiness Rank,2016
Dominican Republic,Latin America and Caribbean,89,Happiness Rank,2016
Morocco,Middle East and Northern Africa,90,Happiness Rank,2016
Hungary,Central and Eastern Europe,91,Happiness Rank,2016
Pakistan,Southern Asia,92,Happiness Rank,2016
Lebanon,Middle East and Northern Africa,93,Happiness Rank,2016
Portugal,Western Europe,94,Happiness Rank,2016
Macedonia,Central and Eastern Europe,95,Happiness Rank,2016
Vietnam,Southeastern Asia,96,Happiness Rank,2016
Somaliland Region,Sub-Saharan Africa,97,Happiness Rank,2016
Tunisia,Middle East and Northern Africa,98,Happiness Rank,2016
Greece,Western Europe,99,Happiness Rank,2016
Tajikistan,Central and Eastern Europe,100,Happiness Rank,2016
Mongolia,Eastern Asia,101,Happiness Rank,2016
Laos,Southeastern Asia,102,Happiness Rank,2016
Nigeria,Sub-Saharan Africa,103,Happiness Rank,2016
Honduras,Latin America and Caribbean,104,Happiness Rank,2016
Iran,Middle East and Northern Africa,105,Happiness Rank,2016
Zambia,Sub-Saharan Africa,106,Happiness Rank,2016
Nepal,Southern Asia,107,Happiness Rank,2016
Palestinian Territories,Middle East and Northern Africa,108,Happiness Rank,2016
Albania,Central and Eastern Europe,109,Happiness Rank,2016
Bangladesh,Southern Asia,110,Happiness Rank,2016
Sierra Leone,Sub-Saharan Africa,111,Happiness Rank,2016
Iraq,Middle East and Northern Africa,112,Happiness Rank,2016
Namibia,Sub-Saharan Africa,113,Happiness Rank,2016
Cameroon,Sub-Saharan Africa,114,Happiness Rank,2016
Ethiopia,Sub-Saharan Africa,115,Happiness Rank,2016
South Africa,Sub-Saharan Africa,116,Happiness Rank,2016
Sri Lanka,Southern Asia,117,Happiness Rank,2016
India,Southern Asia,118,Happiness Rank,2016
Myanmar,Southeastern Asia,119,Happiness Rank,2016
Egypt,Middle East and Northern Africa,120,Happiness Rank,2016
Armenia,Central and Eastern Europe,121,Happiness Rank,2016
Kenya,Sub-Saharan Africa,122,Happiness Rank,2016
Ukraine,Central and Eastern Europe,123,Happiness Rank,2016
Ghana,Sub-Saharan Africa,124,Happiness Rank,2016
Congo (Kinshasa),Sub-Saharan Africa,125,Happiness Rank,2016
Georgia,Central and Eastern Europe,126,Happiness Rank,2016
Congo (Brazzaville),Sub-Saharan Africa,127,Happiness Rank,2016
Senegal,Sub-Saharan Africa,128,Happiness Rank,2016
Bulgaria,Central and Eastern Europe,129,Happiness Rank,2016
Mauritania,Sub-Saharan Africa,130,Happiness Rank,2016
Zimbabwe,Sub-Saharan Africa,131,Happiness Rank,2016
Malawi,Sub-Saharan Africa,132,Happiness Rank,2016
Sudan,Sub-Saharan Africa,133,Happiness Rank,2016
Gabon,Sub-Saharan Africa,134,Happiness Rank,2016
Mali,Sub-Saharan Africa,135,Happiness Rank,2016
Haiti,Latin America and Caribbean,136,Happiness Rank,2016
Botswana,Sub-Saharan Africa,137,Happiness Rank,2016
Comoros,Sub-Saharan Africa,138,Happiness Rank,2016
Ivory Coast,Sub-Saharan Africa,139,Happiness Rank,2016
Cambodia,Southeastern Asia,140,Happiness Rank,2016
Angola,Sub-Saharan Africa,141,Happiness Rank,2016
Niger,Sub-Saharan Africa,142,Happiness Rank,2016
South Sudan,Sub-Saharan Africa,143,Happiness Rank,2016
Chad,Sub-Saharan Africa,144,Happiness Rank,2016
Burkina Faso,Sub-Saharan Africa,145,Happiness Rank,2016
Uganda,Sub-Saharan Africa,145,Happiness Rank,2016
Yemen,Middle East and Northern Africa,147,Happiness Rank,2016
Madagascar,Sub-Saharan Africa,148,Happiness Rank,2016
Tanzania,Sub-Saharan Africa,149,Happiness Rank,2016
Liberia,Sub-Saharan Africa,150,Happiness Rank,2016
Guinea,Sub-Saharan Africa,151,Happiness Rank,2016
Rwanda,Sub-Saharan Africa,152,Happiness Rank,2016
Benin,Sub-Saharan Africa,153,Happiness Rank,2016
Afghanistan,Southern Asia,154,Happiness Rank,2016
Togo,Sub-Saharan Africa,155,Happiness Rank,2016
Syria,Middle East and Northern Africa,156,Happiness Rank,2016
Burundi,Sub-Saharan Africa,157,Happiness Rank,2016
Switzerland,Western Europe,7.587,Happiness Score,2015
Iceland,Western Europe,7.561,Happiness Score,2015
Denmark,Western Europe,7.527,Happiness Score,2015
Norway,Western Europe,7.522,Happiness Score,2015
Canada,North America,7.427,Happiness Score,2015
Finland,Western Europe,7.406,Happiness Score,2015
Netherlands,Western Europe,7.378,Happiness Score,2015
Sweden,Western Europe,7.364,Happiness Score,2015
New Zealand,Australia and New Zealand,7.286,Happiness Score,2015
Australia,Australia and New Zealand,7.284,Happiness Score,2015
Israel,Middle East and Northern Africa,7.278,Happiness Score,2015
Costa Rica,Latin America and Caribbean,7.226,Happiness Score,2015
Austria,Western Europe,7.2,Happiness Score,2015
Mexico,Latin America and Caribbean,7.187,Happiness Score,2015
United States,North America,7.119,Happiness Score,2015
Brazil,Latin America and Caribbean,6.983,Happiness Score,2015
Luxembourg,Western Europe,6.946,Happiness Score,2015
Ireland,Western Europe,6.94,Happiness Score,2015
Belgium,Western Europe,6.937,Happiness Score,2015
United Arab Emirates,Middle East and Northern Africa,6.901,Happiness Score,2015
United Kingdom,Western Europe,6.867,Happiness Score,2015
Oman,Middle East and Northern Africa,6.853,Happiness Score,2015
Venezuela,Latin America and Caribbean,6.81,Happiness Score,2015
Singapore,Southeastern Asia,6.798,Happiness Score,2015
Panama,Latin America and Caribbean,6.786,Happiness Score,2015
Germany,Western Europe,6.75,Happiness Score,2015
Chile,Latin America and Caribbean,6.67,Happiness Score,2015
Qatar,Middle East and Northern Africa,6.611,Happiness Score,2015
France,Western Europe,6.575,Happiness Score,2015
Argentina,Latin America and Caribbean,6.574,Happiness Score,2015
Czech Republic,Central and Eastern Europe,6.505,Happiness Score,2015
Uruguay,Latin America and Caribbean,6.485,Happiness Score,2015
Colombia,Latin America and Caribbean,6.477,Happiness Score,2015
Thailand,Southeastern Asia,6.455,Happiness Score,2015
Saudi Arabia,Middle East and Northern Africa,6.411,Happiness Score,2015
Spain,Western Europe,6.329,Happiness Score,2015
Malta,Western Europe,6.302,Happiness Score,2015
Taiwan,Eastern Asia,6.298,Happiness Score,2015
Kuwait,Middle East and Northern Africa,6.295,Happiness Score,2015
Suriname,Latin America and Caribbean,6.269,Happiness Score,2015
Trinidad and Tobago,Latin America and Caribbean,6.168,Happiness Score,2015
El Salvador,Latin America and Caribbean,6.13,Happiness Score,2015
Guatemala,Latin America and Caribbean,6.123,Happiness Score,2015
Uzbekistan,Central and Eastern Europe,6.003,Happiness Score,2015
Slovakia,Central and Eastern Europe,5.995,Happiness Score,2015
Japan,Eastern Asia,5.987,Happiness Score,2015
South Korea,Eastern Asia,5.984,Happiness Score,2015
Ecuador,Latin America and Caribbean,5.975,Happiness Score,2015
Bahrain,Middle East and Northern Africa,5.96,Happiness Score,2015
Italy,Western Europe,5.948,Happiness Score,2015
Bolivia,Latin America and Caribbean,5.89,Happiness Score,2015
Moldova,Central and Eastern Europe,5.889,Happiness Score,2015
Paraguay,Latin America and Caribbean,5.878,Happiness Score,2015
Kazakhstan,Central and Eastern Europe,5.855,Happiness Score,2015
Slovenia,Central and Eastern Europe,5.848,Happiness Score,2015
Lithuania,Central and Eastern Europe,5.833,Happiness Score,2015
Nicaragua,Latin America and Caribbean,5.828,Happiness Score,2015
Peru,Latin America and Caribbean,5.824,Happiness Score,2015
Belarus,Central and Eastern Europe,5.813,Happiness Score,2015
Poland,Central and Eastern Europe,5.791,Happiness Score,2015
Malaysia,Southeastern Asia,5.77,Happiness Score,2015
Croatia,Central and Eastern Europe,5.759,Happiness Score,2015
Libya,Middle East and Northern Africa,5.754,Happiness Score,2015
Russia,Central and Eastern Europe,5.716,Happiness Score,2015
Jamaica,Latin America and Caribbean,5.709,Happiness Score,2015
North Cyprus,Western Europe,5.695,Happiness Score,2015
Cyprus,Western Europe,5.689,Happiness Score,2015
Algeria,Middle East and Northern Africa,5.605,Happiness Score,2015
Kosovo,Central and Eastern Europe,5.589,Happiness Score,2015
Turkmenistan,Central and Eastern Europe,5.548,Happiness Score,2015
Mauritius,Sub-Saharan Africa,5.477,Happiness Score,2015
Hong Kong,Eastern Asia,5.474,Happiness Score,2015
Estonia,Central and Eastern Europe,5.429,Happiness Score,2015
Indonesia,Southeastern Asia,5.399,Happiness Score,2015
Vietnam,Southeastern Asia,5.36,Happiness Score,2015
Turkey,Middle East and Northern Africa,5.332,Happiness Score,2015
Kyrgyzstan,Central and Eastern Europe,5.286,Happiness Score,2015
Nigeria,Sub-Saharan Africa,5.268,Happiness Score,2015
Bhutan,Southern Asia,5.253,Happiness Score,2015
Azerbaijan,Central and Eastern Europe,5.212,Happiness Score,2015
Pakistan,Southern Asia,5.194,Happiness Score,2015
Jordan,Middle East and Northern Africa,5.192,Happiness Score,2015
Montenegro,Central and Eastern Europe,5.192,Happiness Score,2015
China,Eastern Asia,5.14,Happiness Score,2015
Zambia,Sub-Saharan Africa,5.129,Happiness Score,2015
Romania,Central and Eastern Europe,5.124,Happiness Score,2015
Serbia,Central and Eastern Europe,5.123,Happiness Score,2015
Portugal,Western Europe,5.102,Happiness Score,2015
Latvia,Central and Eastern Europe,5.098,Happiness Score,2015
Philippines,Southeastern Asia,5.073,Happiness Score,2015
Somaliland region,Sub-Saharan Africa,5.057,Happiness Score,2015
Morocco,Middle East and Northern Africa,5.013,Happiness Score,2015
Macedonia,Central and Eastern Europe,5.007,Happiness Score,2015
Mozambique,Sub-Saharan Africa,4.971,Happiness Score,2015
Albania,Central and Eastern Europe,4.959,Happiness Score,2015
Bosnia and Herzegovina,Central and Eastern Europe,4.949,Happiness Score,2015
Lesotho,Sub-Saharan Africa,4.898,Happiness Score,2015
Dominican Republic,Latin America and Caribbean,4.885,Happiness Score,2015
Laos,Southeastern Asia,4.876,Happiness Score,2015
Mongolia,Eastern Asia,4.874,Happiness Score,2015
Swaziland,Sub-Saharan Africa,4.867,Happiness Score,2015
Greece,Western Europe,4.857,Happiness Score,2015
Lebanon,Middle East and Northern Africa,4.839,Happiness Score,2015
Hungary,Central and Eastern Europe,4.8,Happiness Score,2015
Honduras,Latin America and Caribbean,4.788,Happiness Score,2015
Tajikistan,Central and Eastern Europe,4.786,Happiness Score,2015
Tunisia,Middle East and Northern Africa,4.739,Happiness Score,2015
Palestinian Territories,Middle East and Northern Africa,4.715,Happiness Score,2015
Bangladesh,Southern Asia,4.694,Happiness Score,2015
Iran,Middle East and Northern Africa,4.686,Happiness Score,2015
Ukraine,Central and Eastern Europe,4.681,Happiness Score,2015
Iraq,Middle East and Northern Africa,4.677,Happiness Score,2015
South Africa,Sub-Saharan Africa,4.642,Happiness Score,2015
Ghana,Sub-Saharan Africa,4.633,Happiness Score,2015
Zimbabwe,Sub-Saharan Africa,4.61,Happiness Score,2015
Liberia,Sub-Saharan Africa,4.571,Happiness Score,2015
India,Southern Asia,4.565,Happiness Score,2015
Sudan,Sub-Saharan Africa,4.55,Happiness Score,2015
Haiti,Latin America and Caribbean,4.518,Happiness Score,2015
Congo (Kinshasa),Sub-Saharan Africa,4.517,Happiness Score,2015
Nepal,Southern Asia,4.514,Happiness Score,2015
Ethiopia,Sub-Saharan Africa,4.512,Happiness Score,2015
Sierra Leone,Sub-Saharan Africa,4.507,Happiness Score,2015
Mauritania,Sub-Saharan Africa,4.436,Happiness Score,2015
Kenya,Sub-Saharan Africa,4.419,Happiness Score,2015
Djibouti,Sub-Saharan Africa,4.369,Happiness Score,2015
Armenia,Central and Eastern Europe,4.35,Happiness Score,2015
Botswana,Sub-Saharan Africa,4.332,Happiness Score,2015
Myanmar,Southeastern Asia,4.307,Happiness Score,2015
Georgia,Central and Eastern Europe,4.297,Happiness Score,2015
Malawi,Sub-Saharan Africa,4.292,Happiness Score,2015
Sri Lanka,Southern Asia,4.271,Happiness Score,2015
Cameroon,Sub-Saharan Africa,4.252,Happiness Score,2015
Bulgaria,Central and Eastern Europe,4.218,Happiness Score,2015
Egypt,Middle East and Northern Africa,4.194,Happiness Score,2015
Yemen,Middle East and Northern Africa,4.077,Happiness Score,2015
Angola,Sub-Saharan Africa,4.033,Happiness Score,2015
Mali,Sub-Saharan Africa,3.995,Happiness Score,2015
Congo (Brazzaville),Sub-Saharan Africa,3.989,Happiness Score,2015
Comoros,Sub-Saharan Africa,3.956,Happiness Score,2015
Uganda,Sub-Saharan Africa,3.931,Happiness Score,2015
Senegal,Sub-Saharan Africa,3.904,Happiness Score,2015
Gabon,Sub-Saharan Africa,3.896,Happiness Score,2015
Niger,Sub-Saharan Africa,3.845,Happiness Score,2015
Cambodia,Southeastern Asia,3.819,Happiness Score,2015
Tanzania,Sub-Saharan Africa,3.781,Happiness Score,2015
Madagascar,Sub-Saharan Africa,3.681,Happiness Score,2015
Chad,Sub-Saharan Africa,3.667,Happiness Score,2015
Guinea,Sub-Saharan Africa,3.656,Happiness Score,2015
Ivory Coast,Sub-Saharan Africa,3.655,Happiness Score,2015
Burkina Faso,Sub-Saharan Africa,3.587,Happiness Score,2015
Afghanistan,Southern Asia,3.575,Happiness Score,2015
Rwanda,Sub-Saharan Africa,3.465,Happiness Score,2015
Benin,Sub-Saharan Africa,3.34,Happiness Score,2015
Syria,Middle East and Northern Africa,3.006,Happiness Score,2015
Burundi,Sub-Saharan Africa,2.905,Happiness Score,2015
Togo,Sub-Saharan Africa,2.839,Happiness Score,2015
Denmark,Western Europe,7.526,Happiness Score,2016
Switzerland,Western Europe,7.509,Happiness Score,2016
Iceland,Western Europe,7.501,Happiness Score,2016
Norway,Western Europe,7.498,Happiness Score,2016
Finland,Western Europe,7.413,Happiness Score,2016
Canada,North America,7.404,Happiness Score,2016
Netherlands,Western Europe,7.339,Happiness Score,2016
New Zealand,Australia and New Zealand,7.334,Happiness Score,2016
Australia,Australia and New Zealand,7.313,Happiness Score,2016
